SR_NUMBER;SR_SHORT_CODE;OWNER_DEPARTMENT;STATUS;CREATED_DATE;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;COMMUNITY_AREA;LATITUDE;LONGITUDE
SR20-05580001;AVN;Aviation;Completed;2020-12-06 09:58:13;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580002;311IOC;311 City Services;Completed;2020-12-06 09:58:15;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580003;311IOC;311 City Services;Completed;2020-12-06 09:58:18;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580004;AVN;Aviation;Completed;2020-12-06 09:58:29;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580005;AVN;Aviation;Completed;2020-12-06 09:59:11;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580006;311IOC;311 City Services;Completed;2020-12-06 09:59:15;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580009;311IOC;311 City Services;Completed;2020-12-06 09:59:36;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580011;311IOC;311 City Services;Completed;2020-12-06 10:00:22;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580013;AVN;Aviation;Completed;2020-12-06 10:01:34;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580014;AVN;Aviation;Completed;2020-12-06 10:01:47;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580015;311IOC;311 City Services;Completed;2020-12-06 10:01:48;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580016;SRRP;Streets and Sanitation;Completed;2020-12-06 10:02:24;2006;W;ARTHUR;AVE;WEST RIDGE;41.999937398;-87.680644617
SR20-05580017;PCC;CDOT - Department of Transportation;Completed;2020-12-06 10:02:30;3258;W;111TH;ST;MOUNT GREENWOOD;41.69156882;-87.703132182
SR20-05580020;AVN;Aviation;Completed;2020-12-06 10:04:10;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580021;311IOC;311 City Services;Completed;2020-12-06 10:04:15;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580023;311IOC;311 City Services;Completed;2020-12-06 10:05:16;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580025;311IOC;311 City Services;Completed;2020-12-06 10:05:38;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580027;AVN;Aviation;Completed;2020-12-06 10:06:33;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05580028;311IOC;311 City Services;Completed;2020-12-06 10:07:03;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580029;311IOC;311 City Services;Completed;2020-12-06 10:07:46;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
