Unique Key;Created Date;Agency Name;Complaint Type;Incident Address;Status;Borough;Latitude;Longitude
61810337;2024-07-15 10:05:57;HPD;WATER LEAK;1138 ROGERS AVENUE;Closed;BROOKLYN;40.642098833937744;-73.95155692952774
61810346;2024-07-15 10:50:08;HPD;UNSANITARY CONDITION;225 EAST   63 STREET;Closed;MANHATTAN;40.76375963167554;-73.96403091090507
61810339;2024-07-15 19:33:46;HPD;WATER LEAK;2600 CRESTON AVENUE;Closed;BRONX;40.865158168593744;-73.89646913260533
61810345;2024-07-15 07:51:09;HPD;UNSANITARY CONDITION;31-35 CRESCENT STREET;Closed;QUEENS;40.76468368198577;-73.92718359841146
61810344;2024-07-15 18:17:02;HPD;UNSANITARY CONDITION;139 THOMAS S BOYLAND STREET;Closed;BROOKLYN;40.68011398106802;-73.91390719876304
61810342;2024-07-15 15:47:07;HPD;UNSANITARY CONDITION;45 TENNIS COURT;Closed;BROOKLYN;40.64859119272554;-73.96128934169823
61810343;2024-07-15 14:04:51;HPD;UNSANITARY CONDITION;55 LENOX ROAD;Closed;BROOKLYN;40.653692477421174;-73.95769324445949
61810359;2024-07-15 11:58:01;HPD;ELECTRIC;1566 EASTERN PARKWAY EXTENSION;Closed;BROOKLYN;40.6709728992122;-73.9163018265456
61810352;2024-07-15 17:42:41;HPD;UNSANITARY CONDITION;2330 BRONX PARK EAST;Closed;BRONX;40.860161537354465;-73.87071903653766
61810358;2024-07-15 10:38:52;HPD;WATER LEAK;730 EAST   32 STREET;Closed;BROOKLYN;40.633263532189524;-73.9457843779772
61810361;2024-07-15 11:13:44;HPD;FLOORING/STAIRS;440 JACKSON AVENUE;Closed;BRONX;40.810308314568466;-73.91011190899562
61810374;2024-07-15 12:01:54;HPD;SAFETY;1566 EASTERN PARKWAY EXTENSION;Closed;BROOKLYN;40.6709728992122;-73.9163018265456
61810367;2024-07-15 14:48:31;HPD;WATER LEAK;150 VAN CORTLANDT AVENUE EAST;Closed;BRONX;40.87703959132199;-73.88451402576904
61810379;2024-07-15 10:38:54;HPD;APPLIANCE;402 EAST  138 STREET;Closed;BRONX;40.808900977089905;-73.92242110124747
61810381;2024-07-15 17:13:35;HPD;APPLIANCE;3515 NEPTUNE AVENUE;Closed;BROOKLYN;40.57698876047244;-74.00237227472925
61810384;2024-07-15 13:38:51;HPD;APPLIANCE;2260 WASHINGTON AVENUE;Closed;BRONX;40.85481891380235;-73.89349213141107
61810444;2024-07-15 08:49:22;DHS;Homeless Person Assistance;2575 BROADWAY;Closed;MANHATTAN;40.795169712248224;-73.97141412455574
61810438;2024-07-15 17:16:47;HPD;SAFETY;2260 WASHINGTON AVENUE;Closed;BRONX;40.85481891380235;-73.89349213141107
61810445;2024-07-15 21:47:54;HPD;GENERAL;130 ST PAULS PLACE;Closed;BROOKLYN;40.65049649311897;-73.96256036928409
61810454;2024-07-15 07:48:29;DHS;Homeless Person Assistance;7 WEST   51 STREET;Closed;MANHATTAN;40.759387880184185;-73.97725187496349
61415552;2024-06-08 02:18:34;NYPD;Noise - Residential;37-15 30 AVENUE;Closed;QUEENS;40.76455558054324;-73.91638277091631
61811234;2024-07-15 22:42:57;DSNY;Graffiti;52 CHAMBERS STREET;Closed;MANHATTAN;40.7138133710393;-74.0055695158991
61811605;2024-07-15 12:01:54;HPD;PAINT/PLASTER;1566 EASTERN PARKWAY EXTENSION;Closed;BROOKLYN;40.6709728992122;-73.9163018265456
